mm_lluvia|3d_num_sin|4d_num_sin|5d_num_sin|6d_num_sin|7d_num_sin|8d_num_sin|9d_num_sin|10d_num_sin|11d_num_sin|12d_num_sin|13d_num_sin|14d_num_sin|15d_num_sin|2_dias|3_dias|4_dias|5_dias|6_dias|7_dias|8_dias|9_dias|10_dias|11_dias|12_dias|13_dias|14_dias|15_dias
0.6|0|0|0|0|0|1|1|1|2|3|4|5|5|3.80|14.20|42.60|53.20|56.30|60.90|60.90|64.00|73.20|73.20|73.20|73.20|73.20|78.00
2.2|0|0|0|0|0|0|1|1|1|2|3|4|5|2.80|6.00|16.40|44.80|55.40|58.50|63.10|63.10|66.20|75.40|75.40|75.40|75.40|75.40
0.2|0|0|0|0|0|0|0|1|1|1|2|3|4|2.40|3.00|6.20|16.60|45.00|55.60|58.70|63.30|63.30|66.40|75.60|75.60|75.60|75.60
0|1|1|1|1|1|1|1|1|2|2|2|3|4|0.20|2.40|3.00|6.20|16.60|45.00|55.60|58.70|63.30|63.30|66.40|75.60|75.60|75.60
0.4|1|1|1|1|1|1|1|1|1|2|2|2|3|0.40|0.60|2.80|3.40|6.60|17.00|45.40|56.00|59.10|63.70|63.70|66.80|76.00|76.00
2.7|1|1|1|1|1|1|1|1|1|1|2|2|2|3.10|3.10|3.30|5.50|6.10|9.30|19.70|48.10|58.70|61.80|66.40|66.40|69.50|78.70
0.7|0|1|1|1|1|1|1|1|1|1|1|2|2|3.40|3.80|3.80|4.00|6.20|6.80|10.00|20.40|48.80|59.40|62.50|67.10|67.10|70.20
0|1|1|2|2|2|2|2|2|2|2|2|2|3|0.70|3.40|3.80|3.80|4.00|6.20|6.80|10.00|20.40|48.80|59.40|62.50|67.10|67.10
12.6|1|1|1|2|2|2|2|2|2|2|2|2|2|12.60|13.30|16.00|16.40|16.40|16.60|18.80|19.40|22.60|33.00|61.40|72.00|75.10|79.70
4|1|1|1|1|2|2|2|2|2|2|2|2|2|16.60|16.60|17.30|20.00|20.40|20.40|20.60|22.80|23.40|26.60|37.00|65.40|76.00|79.10
5.6|0|1|1|1|1|2|2|2|2|2|2|2|2|9.60|22.20|22.20|22.90|25.60|26.00|26.00|26.20|28.40|29.00|32.20|42.60|71.00|81.60
11.1|0|0|1|1|1|1|2|2|2|2|2|2|2|16.70|20.70|33.30|33.30|34.00|36.70|37.10|37.10|37.30|39.50|40.10|43.30|53.70|82.10
17.3|0|0|0|1|1|1|1|2|2|2|2|2|2|28.40|34.00|38.00|50.60|50.60|51.30|54.00|54.40|54.40|54.60|56.80|57.40|60.60|71.00
0.5|0|0|0|0|1|1|1|1|2|2|2|2|2|17.80|28.90|34.50|38.50|51.10|51.10|51.80|54.50|54.90|54.90|55.10|57.30|57.90|61.10
0.2|0|0|0|0|0|1|1|1|1|2|2|2|2|0.70|18.00|29.10|34.70|38.70|51.30|51.30|52.00|54.70|55.10|55.10|55.30|57.50|58.10
0.3|0|0|0|0|0|0|1|1|1|1|2|2|2|0.50|1.00|18.30|29.40|35.00|39.00|51.60|51.60|52.30|55.00|55.40|55.40|55.60|57.80
0.8|0|0|0|0|0|0|0|1|1|1|1|2|2|1.10|1.30|1.80|19.10|30.20|35.80|39.80|52.40|52.40|53.10|55.80|56.20|56.20|56.40
0.4|0|0|0|0|0|0|0|0|1|1|1|1|2|1.20|1.50|1.70|2.20|19.50|30.60|36.20|40.20|52.80|52.80|53.50|56.20|56.60|56.60
0|1|1|1|1|1|1|1|1|1|2|2|2|2|0.40|1.20|1.50|1.70|2.20|19.50|30.60|36.20|40.20|52.80|52.80|53.50|56.20|56.60
0|2|2|2|2|2|2|2|2|2|2|3|3|3|0.00|0.40|1.20|1.50|1.70|2.20|19.50|30.60|36.20|40.20|52.80|52.80|53.50|56.20
0.2|2|2|2|2|2|2|2|2|2|2|2|3|3|0.20|0.20|0.60|1.40|1.70|1.90|2.40|19.70|30.80|36.40|40.40|53.00|53.00|53.70
11.9|1|2|2|2|2|2|2|2|2|2|2|2|3|12.10|12.10|12.10|12.50|13.30|13.60|13.80|14.30|31.60|42.70|48.30|52.30|64.90|64.90
4.2|0|1|2|2|2|2|2|2|2|2|2|2|2|16.10|16.30|16.30|16.30|16.70|17.50|17.80|18.00|18.50|35.80|46.90|52.50|56.50|69.10
12.6|0|0|1|2|2|2|2|2|2|2|2|2|2|16.80|28.70|28.90|28.90|28.90|29.30|30.10|30.40|30.60|31.10|48.40|59.50|65.10|69.10
7.6|0|0|0|1|2|2|2|2|2|2|2|2|2|20.20|24.40|36.30|36.50|36.50|36.50|36.90|37.70|38.00|38.20|38.70|56.00|67.10|72.70
1.1|0|0|0|0|1|2|2|2|2|2|2|2|2|8.70|21.30|25.50|37.40|37.60|37.60|37.60|38.00|38.80|39.10|39.30|39.80|57.10|68.20
20.2|0|0|0|0|0|1|2|2|2|2|2|2|2|21.30|28.90|41.50|45.70|57.60|57.80|57.80|57.80|58.20|59.00|59.30|59.50|60.00|77.30
19.9|0|0|0|0|0|0|1|2|2|2|2|2|2|40.10|41.20|48.80|61.40|65.60|77.50|77.70|77.70|77.70|78.10|78.90|79.20|79.40|79.90
12.2|0|0|0|0|0|0|0|1|2|2|2|2|2|32.10|52.30|53.40|61.00|73.60|77.80|89.70|89.90|89.90|89.90|90.30|91.10|91.40|91.60
18.3|0|0|0|0|0|0|0|0|1|2|2|2|2|30.50|50.40|70.60|71.70|79.30|91.90|96.10|108.00|108.20|108.20|108.20|108.60|109.40|109.70
0.2|0|0|0|0|0|0|0|0|0|1|2|2|2|18.50|30.70|50.60|70.80|71.90|79.50|92.10|96.30|108.20|108.40|108.40|108.40|108.80|109.60
0|1|1|1|1|1|1|1|1|1|1|2|3|3|0.20|18.50|30.70|50.60|70.80|71.90|79.50|92.10|96.30|108.20|108.40|108.40|108.40|108.80
0|2|2|2|2|2|2|2|2|2|2|2|3|4|0.00|0.20|18.50|30.70|50.60|70.80|71.90|79.50|92.10|96.30|108.20|108.40|108.40|108.40
0|3|3|3|3|3|3|3|3|3|3|3|3|4|0.00|0.00|0.20|18.50|30.70|50.60|70.80|71.90|79.50|92.10|96.30|108.20|108.40|108.40
0.2|2|3|3|3|3|3|3|3|3|3|3|3|3|0.20|0.20|0.20|0.40|18.70|30.90|50.80|71.00|72.10|79.70|92.30|96.50|108.40|108.60
32.3|1|2|3|3|3|3|3|3|3|3|3|3|3|32.50|32.50|32.50|32.50|32.70|51.00|63.20|83.10|103.30|104.40|112.00|124.60|128.80|140.70
24.3|0|1|2|3|3|3|3|3|3|3|3|3|3|56.60|56.80|56.80|56.80|56.80|57.00|75.30|87.50|107.40|127.60|128.70|136.30|148.90|153.10
13.4|0|0|1|2|3|3|3|3|3|3|3|3|3|37.70|70.00|70.20|70.20|70.20|70.20|70.40|88.70|100.90|120.80|141.00|142.10|149.70|162.30
