mm_lluvia|3d_num_sin|4d_num_sin|5d_num_sin|6d_num_sin|7d_num_sin|8d_num_sin|9d_num_sin|10d_num_sin|11d_num_sin|12d_num_sin|13d_num_sin|14d_num_sin|15d_num_sin|2_dias|3_dias|4_dias|5_dias|6_dias|7_dias|8_dias|9_dias|10_dias|11_dias|12_dias|13_dias|14_dias|15_dias
0|1|1|2|3|4|4|5|6|7|8|9|9|10|1.40|2.80|14.60|14.60|14.60|14.60|17.30|17.30|17.30|17.30|17.30|17.30|21.80|21.80
0|2|2|2|3|4|5|5|6|7|8|9|10|10|0.00|1.40|2.80|14.60|14.60|14.60|14.60|17.30|17.30|17.30|17.30|17.30|17.30|21.80
0|3|3|3|3|4|5|6|6|7|8|9|10|11|0.00|0.00|1.40|2.80|14.60|14.60|14.60|14.60|17.30|17.30|17.30|17.30|17.30|17.30
0|3|4|4|4|4|5|6|7|7|8|9|10|11|0.00|0.00|0.00|1.40|2.80|14.60|14.60|14.60|14.60|17.30|17.30|17.30|17.30|17.30
0|3|4|5|5|5|5|6|7|8|8|9|10|11|0.00|0.00|0.00|0.00|1.40|2.80|14.60|14.60|14.60|14.60|17.30|17.30|17.30|17.30
0.4|2|3|4|5|5|5|5|6|7|8|8|9|10|0.40|0.40|0.40|0.40|0.40|1.80|3.20|15.00|15.00|15.00|15.00|17.70|17.70|17.70
3.1|1|2|3|4|5|5|5|5|6|7|8|8|9|3.50|3.50|3.50|3.50|3.50|3.50|4.90|6.30|18.10|18.10|18.10|18.10|20.80|20.80
0|1|2|3|4|5|6|6|6|6|7|8|9|9|3.10|3.50|3.50|3.50|3.50|3.50|3.50|4.90|6.30|18.10|18.10|18.10|18.10|20.80
0|2|2|3|4|5|6|7|7|7|7|8|9|10|0.00|3.10|3.50|3.50|3.50|3.50|3.50|3.50|4.90|6.30|18.10|18.10|18.10|18.10
0|3|3|3|4|5|6|7|8|8|8|8|9|10|0.00|0.00|3.10|3.50|3.50|3.50|3.50|3.50|3.50|4.90|6.30|18.10|18.10|18.10
0|3|4|4|4|5|6|7|8|9|9|9|9|10|0.00|0.00|0.00|3.10|3.50|3.50|3.50|3.50|3.50|3.50|4.90|6.30|18.10|18.10
0|3|4|5|5|5|6|7|8|9|10|10|10|10|0.00|0.00|0.00|0.00|3.10|3.50|3.50|3.50|3.50|3.50|3.50|4.90|6.30|18.10
0|3|4|5|6|6|6|7|8|9|10|11|11|11|0.00|0.00|0.00|0.00|0.00|3.10|3.50|3.50|3.50|3.50|3.50|3.50|4.90|6.30
1.4|2|3|4|5|6|6|6|7|8|9|10|11|11|1.40|1.40|1.40|1.40|1.40|1.40|4.50|4.90|4.90|4.90|4.90|4.90|4.90|6.30
1|1|2|3|4|5|6|6|6|7|8|9|10|11|2.40|2.40|2.40|2.40|2.40|2.40|2.40|5.50|5.90|5.90|5.90|5.90|5.90|5.90
0|1|2|3|4|5|6|7|7|7|8|9|10|11|1.00|2.40|2.40|2.40|2.40|2.40|2.40|2.40|5.50|5.90|5.90|5.90|5.90|5.90
0|2|2|3|4|5|6|7|8|8|8|9|10|11|0.00|1.00|2.40|2.40|2.40|2.40|2.40|2.40|2.40|5.50|5.90|5.90|5.90|5.90
0|3|3|3|4|5|6|7|8|9|9|9|10|11|0.00|0.00|1.00|2.40|2.40|2.40|2.40|2.40|2.40|2.40|5.50|5.90|5.90|5.90
0|3|4|4|4|5|6|7|8|9|10|10|10|11|0.00|0.00|0.00|1.00|2.40|2.40|2.40|2.40|2.40|2.40|2.40|5.50|5.90|5.90
0|3|4|5|5|5|6|7|8|9|10|11|11|11|0.00|0.00|0.00|0.00|1.00|2.40|2.40|2.40|2.40|2.40|2.40|2.40|5.50|5.90
0|3|4|5|6|6|6|7|8|9|10|11|12|12|0.00|0.00|0.00|0.00|0.00|1.00|2.40|2.40|2.40|2.40|2.40|2.40|2.40|5.50
0|3|4|5|6|7|7|7|8|9|10|11|12|13|0.00|0.00|0.00|0.00|0.00|0.00|1.00|2.40|2.40|2.40|2.40|2.40|2.40|2.40
1.2|2|3|4|5|5|5|5|6|6|6|6|6|6|1.2|1.2|1.2|2.6|1.2|13.2|16.2|18.2|18.20|18.50|19.60|20.70|20.90|21.10
1.4|1|2|3|4|5|5|5|5|6|6|6|6|6|2.6|2.6|2.6|9.3|2.6|2.6|14.6|17.6|19.60|19.60|19.90|21.00|22.10|22.30
6.7|0|1|2|3|4|5|5|5|5|6|6|6|6|8.1|9.3|9.3|9.4|9.3|9.3|9.3|21.3|24.30|26.30|26.30|26.60|27.70|28.80
0.1|0|0|1|2|3|4|5|5|5|5|6|6|6|6.8|8.2|9.4|9.4|9.4|9.4|9.4|9.4|21.40|24.40|26.40|26.40|26.70|27.80
0|1|1|1|2|3|4|5|6|6|6|6|7|7|0.1|6.8|8.2|10.7|9.4|9.4|9.4|9.4|9.40|21.40|24.40|26.40|26.40|26.70
2.5|1|1|1|1|2|3|4|5|6|6|6|6|7|2.5|2.6|9.3|9.4|11.9|11.9|11.9|11.9|11.90|11.90|23.90|26.90|28.90|28.90
0.1|1|1|1|1|1|2|3|4|5|6|6|6|6|2.6|2.6|2.7|2.7|10.8|12|12|12|12.00|12.00|12.00|24.00|27.00|29.00
0|1|2|2|2|2|2|3|4|5|6|7|7|7|0.1|2.6|2.6|2.6|9.4|10.8|12|12|12.00|12.00|12.00|12.00|24.00|27.00
0|2|2|3|3|3|3|3|4|5|6|7|8|8|0|0.1|2.6|2.6|2.7|9.4|10.8|12|12.00|12.00|12.00|12.00|12.00|24.00
0|3|3|3|4|4|4|4|4|5|6|7|8|9|0|0|0.1|13.2|2.6|2.7|9.4|10.8|12.00|12.00|12.00|12.00|12.00|12.00
13.1|2|3|3|3|4|4|4|4|4|5|6|7|8|13.1|13.1|13.1|19.8|15.7|15.7|15.8|22.5|23.90|25.10|25.10|25.10|25.10|25.10
6.7|1|2|3|3|3|4|4|4|4|4|5|6|7|19.8|19.8|19.8|20.1|19.9|22.4|22.4|22.5|29.20|30.60|31.80|31.80|31.80|31.80
0.3|0|1|2|3|3|3|4|4|4|4|4|5|6|7|20.1|20.1|24.4|20.1|20.2|22.7|22.7|22.80|29.50|30.90|32.10|32.10|32.10
4.3|0|0|1|2|3|3|3|4|4|4|4|4|5|4.6|11.3|24.4|33.9|24.4|24.4|24.5|27|27.00|27.10|33.80|35.20|36.40|36.40
9.5|0|0|0|1|2|3|3|3|4|4|4|4|4|13.8|14.1|20.8|22|33.9|33.9|33.9|34|36.50|36.50|36.60|43.30|44.70|45.90
1.2|0|0|0|0|1|2|3|3|3|4|4|4|4|10.7|15|15.3|15.3|35.1|35.1|35.1|35.1|35.20|37.70|37.70|37.80|44.50|45.90
0|1|1|1|1|1|2|3|4|4|4|5|5|5|1.2|10.7|15|15.1|22|35.1|35.1|35.1|35.10|35.20|37.70|37.70|37.80|44.50
0.1|1|1|1|1|1|1|2|3|4|4|4|5|5|0.1|1.3|10.8|10.8|15.4|22.1|35.2|35.2|35.20|35.20|35.30|37.80|37.80|37.90
0|2|2|2|2|2|2|2|3|4|5|5|5|6|0.1|0.1|1.3|3.4|15.1|15.4|22.1|35.2|35.20|35.20|35.20|35.30|37.80|37.80
2.1|1|2|2|2|2|2|2|2|3|4|5|5|5|2.1|2.2|2.2|6.7|12.9|17.2|17.5|24.2|37.30|37.30|37.30|37.30|37.40|39.90
4.5|1|1|2|2|2|2|2|2|2|3|4|5|5|6.6|6.6|6.7|6.8|7.9|17.4|21.7|22|28.70|41.80|41.80|41.80|41.80|41.90
0.1|0|1|1|2|2|2|2|2|2|2|3|4|5|4.6|6.7|6.7|6.7|6.8|8|17.5|21.8|22.10|28.80|41.90|41.90|41.90|41.90
0|1|1|2|2|3|3|3|3|3|3|3|4|5|0.1|4.6|6.7|8.5|6.8|6.8|8|17.5|21.80|22.10|28.80|41.90|41.90|41.90
1.8|1|1|1|2|2|3|3|3|3|3|3|3|4|1.8|1.9|6.4|7.5|8.5|8.6|8.6|9.8|19.30|23.60|23.90|30.60|43.70|43.70
1.1|1|1|1|1|2|2|3|3|3|3|3|3|3|2.9|2.9|3|3|9.6|9.6|9.7|9.7|10.90|20.40|24.70|25.00|31.70|44.80
0|1|2|2|2|2|3|3|4|4|4|4|4|4|1.1|2.9|2.9|3.1|7.5|9.6|9.6|9.7|9.70|10.90|20.40|24.70|25.00|31.70
0.2|1|1|2|2|2|2|3|3|4|4|4|4|4|0.2|1.3|3.1|14.4|3.2|7.7|9.8|9.8|9.90|9.90|11.10|20.60|24.90|25.20
11.3|1|1|1|2|2|2|2|3|3|4|4|4|4|11.5|11.5|12.6|12.8|14.4|14.5|19|21.1|21.10|21.20|21.20|22.40|31.90|36.20
0.2|0|1|1|1|2|2|2|2|3|3|4|4|4|11.5|11.7|11.7|26.3|14.6|14.6|14.7|19.2|21.30|21.30|21.40|21.40|22.60|32.10
14.6|0|0|1|1|1|2|2|2|2|3|3|4|4|14.8|26.1|26.3|29.6|27.4|29.2|29.2|29.3|33.80|35.90|35.90|36.00|36.00|37.20
3.3|0|0|0|1|1|1|2|2|2|2|3|3|4|17.9|18.1|29.4|51.1|29.6|30.7|32.5|32.5|32.60|37.10|39.20|39.20|39.30|39.30
21.7|0|0|0|0|1|1|1|2|2|2|2|3|3|25|39.6|39.8|41.1|51.3|51.3|52.4|54.2|54.20|54.30|58.80|60.90|60.90|61.00
1.3|0|0|0|0|0|1|1|1|2|2|2|2|3|23|26.3|40.9|48.9|52.4|52.6|52.6|53.7|55.50|55.50|55.60|60.10|62.20|62.20
8|0|0|0|0|0|0|1|1|1|2|2|2|2|9.3|31|34.3|48.6|49.1|60.4|60.6|60.6|61.70|63.50|63.50|63.60|68.10|70.20
14.3|0|0|0|0|0|0|0|1|1|1|2|2|2|22.3|23.6|45.3|46.7|63.2|63.4|74.7|74.9|74.90|76.00|77.80|77.80|77.90|82.40
1.4|0|0|0|0|0|0|0|0|1|1|1|2|2|15.7|23.7|25|27.7|50|64.6|64.8|76.1|76.30|76.30|77.40|79.20|79.20|79.30
2.7|0|0|0|0|0|0|0|0|0|1|1|1|2|4.1|18.4|26.4|31.5|49.4|52.7|67.3|67.5|78.80|79.00|79.00|80.10|81.90|81.90
5.1|0|0|0|0|0|0|0|0|0|0|1|1|1|7.8|9.2|23.5|25|32.8|54.5|57.8|72.4|72.60|83.90|84.10|84.10|85.20|87.00
1.5|0|0|0|0|0|0|0|0|0|0|0|1|1|6.6|9.3|10.7|10.9|33|34.3|56|59.3|73.90|74.10|85.40|85.60|85.60|86.70
0.2|0|0|0|0|0|0|0|0|0|0|0|0|1|1.7|6.8|9.5|10.3|25.2|33.2|34.5|56.2|59.50|74.10|74.30|85.60|85.80|85.80
0.8|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2.5|7.6|7.6|11.7|26|34|35.3|57.00|60.30|74.90|75.10|86.40|86.60
0|1|1|1|1|1|1|1|1|1|1|1|1|1|0.8|1|2.5|5.1|10.3|11.7|26|34|35.30|57.00|60.30|74.90|75.10|86.40
2.6|1|1|1|1|1|1|1|1|1|1|1|1|1|2.6|3.4|3.6|3.6|10.2|12.9|14.3|28.6|36.60|37.90|59.60|62.90|77.50|77.70
0|2|2|2|2|2|2|2|2|2|2|2|2|2|2.6|2.6|3.4|3.4|5.1|10.2|12.9|14.3|28.60|36.60|37.90|59.60|62.90|77.50
0|2|3|3|3|3|3|3|3|3|3|3|3|3|0|2.6|2.6|2.6|3.6|5.1|10.2|12.9|14.30|28.60|36.60|37.90|59.60|62.90
0|3|3|4|4|4|4|4|4|4|4|4|4|4|0|0|2.6|2.6|3.4|3.6|5.1|10.2|12.90|14.30|28.60|36.60|37.90|59.60
0|3|4|4|5|5|5|5|5|5|5|5|5|5|0|0|0|0|2.6|3.4|3.6|5.1|10.20|12.90|14.30|28.60|36.60|37.90
0|3|4|5|5|6|6|6|6|6|6|6|6|6|0|0|0|0|2.6|2.6|3.4|3.6|5.10|10.20|12.90|14.30|28.60|36.60
0|3|4|5|6|6|7|7|7|7|7|7|7|7|0|0|0|7.1|0|2.6|2.6|3.4|3.60|5.10|10.20|12.90|14.30|28.60
7.1|2|3|4|5|6|6|7|7|7|7|7|7|7|7.1|7.1|7.1|13.9|7.1|7.1|9.7|9.7|10.50|10.70|12.20|17.30|20.00|21.40
6.8|1|2|3|4|5|6|6|7|7|7|7|7|7|13.9|13.9|13.9|25.5|13.9|13.9|13.9|16.5|16.50|17.30|17.50|19.00|24.10|26.80
11.6|0|1|2|3|4|5|6|6|7|7|7|7|7|18.4|25.5|25.5|31.7|25.5|25.5|25.5|25.5|28.10|28.10|28.90|29.10|30.60|35.70
6.2|0|0|1|2|3|4|5|6|6|7|7|7|7|17.8|24.6|31.7|47.4|31.7|31.7|31.7|31.7|31.70|34.30|34.30|35.10|35.30|36.80
15.7|0|0|0|1|2|3|4|5|6|6|7|7|7|21.9|33.5|40.3|44.7|47.4|47.4|47.4|47.4|47.40|47.40|50.00|50.00|50.80|51.00
4.4|0|0|0|0|1|2|3|4|5|6|6|7|7|20.1|26.3|37.9|50.3|51.8|51.8|51.8|51.8|51.80|51.80|51.80|54.40|54.40|55.20
12.4|0|0|0|0|0|1|2|3|4|5|6|6|7|16.8|32.5|38.7|40|57.1|64.2|64.2|64.2|64.20|64.20|64.20|64.20|66.80|66.80
1.3|0|0|0|0|0|0|1|2|3|4|5|6|6|13.7|18.1|33.8|44.2|51.6|58.4|65.5|65.5|65.50|65.50|65.50|65.50|65.50|68.10
10.4|0|0|0|0|0|0|0|1|2|3|4|5|6|11.7|24.1|28.5|36.6|50.4|62|68.8|75.9|75.90|75.90|75.90|75.90|75.90|75.90
8.1|0|0|0|0|0|0|0|0|1|2|3|4|5|18.5|19.8|32.2|36.1|52.3|58.5|70.1|76.9|84.00|84.00|84.00|84.00|84.00|84.00
3.9|0|0|0|0|0|0|0|0|0|1|2|3|4|12|22.4|23.7|27|40.5|56.2|62.4|74|80.80|87.90|87.90|87.90|87.90|87.90
3.3|0|0|0|0|0|0|0|0|0|0|1|2|3|7.2|15.3|25.7|33.5|39.4|43.8|59.5|65.7|77.30|84.10|91.20|91.20|91.20|91.20
7.8|0|0|0|0|0|0|0|0|0|0|0|1|2|11.1|15|23.1|29.6|34.8|47.2|51.6|67.3|73.50|85.10|91.90|99.00|99.00|99.00
6.5|0|0|0|0|0|0|0|0|0|0|0|0|1|14.3|17.6|21.5|21.9|40|41.3|53.7|58.1|73.80|80.00|91.60|98.40|105.50|105.50
0.4|0|0|0|0|0|0|0|0|0|0|0|0|0|6.9|14.7|18|20.2|30|40.4|41.7|54.1|58.50|74.20|80.40|92.00|98.80|105.90
2.2|0|0|0|0|0|0|0|0|0|0|0|0|0|2.6|9.1|16.9|17.8|24.1|32.2|42.6|43.9|56.30|60.70|76.40|82.60|94.20|101.00
0.9|0|0|0|0|0|0|0|0|0|0|0|0|0|3.1|3.5|10|13.5|21.1|25|33.1|43.5|44.80|57.20|61.60|77.30|83.50|95.10
3.5|0|0|0|0|0|0|0|0|0|0|0|0|0|4.4|6.6|7|9|21.3|24.6|28.5|36.6|47.00|48.30|60.70|65.10|80.80|87.00
2|0|0|0|0|0|0|0|0|0|0|0|0|0|5.5|6.4|8.6|10.5|15.5|23.3|26.6|30.5|38.60|49.00|50.30|62.70|67.10|82.80
1.9|0|0|0|0|0|0|0|0|0|0|0|0|0|3.9|7.4|8.3|9.7|10.9|17.4|25.2|28.5|32.40|40.50|50.90|52.20|64.60|69.00
1.4|0|0|0|0|0|0|0|0|0|0|0|0|0|3.3|5.3|8.8|9.5|11.9|12.3|18.8|26.6|29.90|33.80|41.90|52.30|53.60|66.00
0.7|0|0|0|0|0|0|0|0|0|0|0|0|0|2.1|4|6|7.5|10.4|12.6|13|19.5|27.30|30.60|34.50|42.60|53.00|54.30
1.5|0|0|0|0|0|0|0|0|0|0|0|0|0|2.2|3.6|5.5|7.6|11|11.9|14.1|14.5|21.00|28.80|32.10|36.00|44.10|54.50
2.1|0|0|0|0|0|0|0|0|0|0|0|0|0|3.6|4.3|5.7|8.3|9.6|13.1|14|16.2|16.60|23.10|30.90|34.20|38.10|46.20
2.6|0|0|0|0|0|0|0|0|0|0|0|0|0|4.7|6.2|6.9|14.8|10.2|12.2|15.7|16.6|18.80|19.20|25.70|33.50|36.80|40.70
7.9|0|0|0|0|0|0|0|0|0|0|0|0|0|10.5|12.6|14.1|14.5|16.2|18.1|20.1|23.6|24.50|26.70|27.10|33.60|41.40|44.70
0.4|0|0|0|0|0|0|0|0|0|0|0|0|0|8.3|10.9|13|13.2|15.2|16.6|18.5|20.5|24.00|24.90|27.10|27.50|34.00|41.80
0.2|0|0|0|0|0|0|0|0|0|0|0|0|0|0.6|8.5|11.1|12.5|14.7|15.4|16.8|18.7|20.70|24.20|25.10|27.30|27.70|34.20
1.4|0|0|0|0|0|0|0|0|0|0|0|0|0|1.6|2|9.9|9.9|14.6|16.1|16.8|18.2|20.10|22.10|25.60|26.50|28.70|29.10
0|1|1|1|1|1|1|1|1|1|1|1|1|1|1.4|1.6|2|8.9|12.5|14.6|16.1|16.8|18.20|20.10|22.10|25.60|26.50|28.70
6.9|1|1|1|1|1|1|1|1|1|1|1|1|1|6.9|8.3|8.5|14.4|16.8|19.4|21.5|23|23.70|25.10|27.00|29.00|32.50|33.40
5.9|1|1|1|1|1|1|1|1|1|1|1|1|1|12.8|12.8|14.2|21.9|14.8|22.7|25.3|27.4|28.90|29.60|31.00|32.90|34.90|38.40
7.7|0|1|1|1|1|1|1|1|1|1|1|1|1|13.6|20.5|20.5|26.2|22.1|22.5|30.4|33|35.10|36.60|37.30|38.70|40.60|42.60
5.7|0|0|1|1|1|1|1|1|1|1|1|1|1|13.4|19.3|26.2|32|27.6|27.8|28.2|36.1|38.70|40.80|42.30|43.00|44.40|46.30
5.8|0|0|0|1|1|1|1|1|1|1|1|1|1|11.5|19.2|25.1|30.9|32|33.4|33.6|34|41.90|44.50|46.60|48.10|48.80|50.20
5.8|0|0|0|0|1|1|1|1|1|1|1|1|1|11.6|17.3|25|36.3|37.8|37.8|39.2|39.4|39.80|47.70|50.30|52.40|53.90|54.60
11.3|0|0|0|0|0|1|1|1|1|1|1|1|1|17.1|22.9|28.6|44.5|42.2|49.1|49.1|50.5|50.70|51.10|59.00|61.60|63.70|65.20
15.9|0|0|0|0|0|0|1|1|1|1|1|1|1|27.2|33|38.8|54.7|52.2|58.1|65|65|66.40|66.60|67.00|74.90|77.50|79.60
15.9|0|0|0|0|0|0|0|1|1|1|1|1|1|31.8|43.1|48.9|49.1|60.4|68.1|74|80.9|80.90|82.30|82.50|82.90|90.80|93.40
0.2|0|0|0|0|0|0|0|0|1|1|1|1|1|16.1|32|43.3|49|54.9|60.6|68.3|74.2|81.10|81.10|82.50|82.70|83.10|91.00
5.7|0|0|0|0|0|0|0|0|0|1|1|1|1|5.9|21.8|37.7|37.7|54.8|60.6|66.3|74|79.90|86.80|86.80|88.20|88.40|88.80
0|1|1|1|1|1|1|1|1|1|1|2|2|2|5.7|5.9|21.8|21.8|49|54.8|60.6|66.3|74.00|79.90|86.80|86.80|88.20|88.40
0|2|2|2|2|2|2|2|2|2|2|2|3|3|0|5.7|5.9|14.2|37.7|49|54.8|60.6|66.30|74.00|79.90|86.80|86.80|88.20
8.3|2|2|2|2|2|2|2|2|2|2|2|2|3|8.3|8.3|14|17|30.1|46|57.3|63.1|68.90|74.60|82.30|88.20|95.10|95.10
3|1|2|2|2|2|2|2|2|2|2|2|2|2|11.3|11.3|11.3|11.8|17.2|33.1|49|60.3|66.10|71.90|77.60|85.30|91.20|98.10
0.5|0|1|2|2|2|2|2|2|2|2|2|2|2|3.5|11.8|11.8|13.8|17.5|17.7|33.6|49.5|60.80|66.60|72.40|78.10|85.80|91.70
2|0|0|1|2|2|2|2|2|2|2|2|2|2|2.5|5.5|13.8|13.9|13.8|19.5|19.7|35.6|51.50|62.80|68.60|74.40|80.10|87.80
0.1|0|0|0|1|2|2|2|2|2|2|2|2|2|2.1|2.6|5.6|6|13.9|13.9|19.6|19.8|35.70|51.60|62.90|68.70|74.50|80.20
0.4|0|0|0|0|1|2|2|2|2|2|2|2|2|0.5|2.5|3|8.7|14.3|14.3|14.3|20|20.20|36.10|52.00|63.30|69.10|74.90
5.7|0|0|0|0|0|1|2|2|2|2|2|2|2|6.1|6.2|8.2|16.3|11.7|20|20|20|25.70|25.90|41.80|57.70|69.00|74.80
8.1|0|0|0|0|0|0|1|2|2|2|2|2|2|13.8|14.2|14.3|16.5|16.8|19.8|28.1|28.1|28.10|33.80|34.00|49.90|65.80|77.10
2.2|0|0|0|0|0|0|0|1|2|2|2|2|2|10.3|16|16.4|18.9|18.5|19|22|30.3|30.30|30.30|36.00|36.20|52.10|68.00
2.5|0|0|0|0|0|0|0|0|1|2|2|2|2|4.7|12.8|18.5|18.7|19|21|21.5|24.5|32.80|32.80|32.80|38.50|38.70|54.60
0.2|0|0|0|0|0|0|0|0|0|1|2|2|2|2.7|4.9|13|17.5|19.1|19.2|21.2|21.7|24.70|33.00|33.00|33.00|38.70|38.90
4.5|0|0|0|0|0|0|0|0|0|0|1|2|2|4.7|7.2|9.4|10.4|23.2|23.6|23.7|25.7|26.20|29.20|37.50|37.50|37.50|43.20
1|0|0|0|0|0|0|0|0|0|0|0|1|2|5.5|5.7|8.2|13.5|18.5|24.2|24.6|24.7|26.70|27.20|30.20|38.50|38.50|38.50
5.3|0|0|0|0|0|0|0|0|0|0|0|0|1|6.3|10.8|11|15.8|15.7|23.8|29.5|29.9|30.00|32.00|32.50|35.50|43.80|43.80
4.8|0|0|0|0|0|0|0|0|0|0|0|0|0|10.1|11.1|15.6|15.6|18.3|20.5|28.6|34.3|34.70|34.80|36.80|37.30|40.30|48.60
0|1|1|1|1|1|1|1|1|1|1|1|1|1|4.8|10.1|11.1|14.1|15.8|18.3|20.5|28.6|34.30|34.70|34.80|36.80|37.30|40.30
3|1|1|1|1|1|1|1|1|1|1|1|1|1|3|7.8|13.1|16.8|18.6|18.8|21.3|23.5|31.60|37.30|37.70|37.80|39.80|40.30
3.7|1|1|1|1|1|1|1|1|1|1|1|1|1|6.7|6.7|11.5|31.9|17.8|22.3|22.5|25|27.20|35.30|41.00|41.40|41.50|43.50
20.4|0|1|1|1|1|1|1|1|1|1|1|1|1|24.1|27.1|27.1|28.3|37.2|38.2|42.7|42.9|45.40|47.60|55.70|61.40|61.80|61.90
1.2|0|0|1|1|1|1|1|1|1|1|1|1|1|21.6|25.3|28.3|28.4|33.1|38.4|39.4|43.9|44.10|46.60|48.80|56.90|62.60|63.00
0.1|0|0|0|1|1|1|1|1|1|1|1|1|1|1.3|21.7|25.4|32.7|28.4|33.2|38.5|39.5|44.00|44.20|46.70|48.90|57.00|62.70
7.3|0|0|0|0|1|1|1|1|1|1|1|1|1|7.4|8.6|29|29.4|35.7|35.7|40.5|45.8|46.80|51.30|51.50|54.00|56.20|64.30
0.4|0|0|0|0|0|1|1|1|1|1|1|1|1|7.7|7.8|9|17.5|33.1|36.1|36.1|40.9|46.20|47.20|51.70|51.90|54.40|56.60
8.5|0|0|0|0|0|0|1|1|1|1|1|1|1|8.9|16.2|16.3|30|37.9|41.6|44.6|44.6|49.40|54.70|55.70|60.20|60.40|62.90
13.7|0|0|0|0|0|0|0|1|1|1|1|1|1|22.2|22.6|29.9|38.5|31.2|51.6|55.3|58.3|58.30|63.10|68.40|69.40|73.90|74.10
8.6|0|0|0|0|0|0|0|0|1|1|1|1|1|22.3|30.8|31.2|34.7|38.6|39.8|60.2|63.9|66.90|66.90|71.70|77.00|78.00|82.50
3.5|0|0|0|0|0|0|0|0|0|1|1|1|1|12.1|25.8|34.3|35|42|42.1|43.3|63.7|67.40|70.40|70.40|75.20|80.50|81.50
0.7|0|0|0|0|0|0|0|0|0|0|1|1|1|4.2|12.8|26.5|41.3|35.4|42.7|42.8|44|64.40|68.10|71.10|71.10|75.90|81.20
14.8|0|0|0|0|0|0|0|0|0|0|0|1|1|15.5|19|27.6|31.8|49.8|50.2|57.5|57.6|58.80|79.20|82.90|85.90|85.90|90.70
4.2|0|0|0|0|0|0|0|0|0|0|0|0|1|19|19.7|23.2|33.6|45.5|54|54.4|61.7|61.80|63.00|83.40|87.10|90.10|90.10
10.4|0|0|0|0|0|0|0|0|0|0|0|0|0|14.6|29.4|30.1|48.9|42.2|55.9|64.4|64.8|72.10|72.20|73.40|93.80|97.50|100.50
18.8|0|0|0|0|0|0|0|0|0|0|0|0|0|29.2|33.4|48.2|54.3|52.4|61|74.7|83.2|83.60|90.90|91.00|92.20|112.60|116.30
6.1|0|0|0|0|0|0|0|0|0|0|0|0|0|24.9|35.3|39.5|42.6|55|58.5|67.1|80.8|89.30|89.70|97.00|97.10|98.30|118.70
3.1|0|0|0|0|0|0|0|0|0|0|0|0|0|9.2|28|38.4|57.5|57.4|58.1|61.6|70.2|83.90|92.40|92.80|100.10|100.20|101.40
19.1|0|0|0|0|0|0|0|0|0|0|0|0|0|22.2|28.3|47.1|53.7|61.7|76.5|77.2|80.7|89.30|103.00|111.50|111.90|119.20|119.30
6.6|0|0|0|0|0|0|0|0|0|0|0|0|0|25.7|28.8|34.9|39.4|64.1|68.3|83.1|83.8|87.30|95.90|109.60|118.10|118.50|125.80
4.5|0|0|0|0|0|0|0|0|0|0|0|0|0|11.1|30.2|33.3|46.4|58.2|68.6|72.8|87.6|88.30|91.80|100.40|114.10|122.60|123.00
13.1|0|0|0|0|0|0|0|0|0|0|0|0|0|17.6|24.2|43.3|55.7|52.5|71.3|81.7|85.9|100.70|101.40|104.90|113.50|127.20|135.70
12.4|0|0|0|0|0|0|0|0|0|0|0|0|0|25.5|30|36.6|42|58.8|64.9|83.7|94.1|98.30|113.10|113.80|117.30|125.90|139.60
5.4|0|0|0|0|0|0|0|0|0|0|0|0|0|17.8|30.9|35.4|36.4|61.1|64.2|70.3|89.1|99.50|103.70|118.50|119.20|122.70|131.30
1|0|0|0|0|0|0|0|0|0|0|0|0|0|6.4|18.8|31.9|33.7|43|62.1|65.2|71.3|90.10|100.50|104.70|119.50|120.20|123.70
1.8|0|0|0|0|0|0|0|0|0|0|0|0|0|2.8|8.2|20.6|22.8|38.2|44.8|63.9|67|73.10|91.90|102.30|106.50|121.30|122.00
2.2|0|0|0|0|0|0|0|0|0|0|0|0|0|4|5|10.4|15.4|35.9|40.4|47|66.1|69.20|75.30|94.10|104.50|108.70|123.50
5|0|0|0|0|0|0|0|0|0|0|0|0|0|7.2|9|10|15.9|27.8|40.9|45.4|52|71.10|74.20|80.30|99.10|109.50|113.70
5.9|0|0|0|0|0|0|0|0|0|0|0|0|0|10.9|13.1|14.9|24.3|21.3|33.7|46.8|51.3|57.90|77.00|80.10|86.20|105.00|115.40
9.4|0|0|0|0|0|0|0|0|0|0|0|0|0|15.3|20.3|22.5|29.6|25.3|30.7|43.1|56.2|60.70|67.30|86.40|89.50|95.60|114.40
7.1|0|0|0|0|0|0|0|0|0|0|0|0|0|16.5|22.4|27.4|44|31.4|32.4|37.8|50.2|63.30|67.80|74.40|93.50|96.60|102.70
16.6|0|0|0|0|0|0|0|0|0|0|0|0|0|23.7|33.1|39|55.1|46.2|48|49|54.4|66.80|79.90|84.40|91.00|110.10|113.20
16.1|0|0|0|0|0|0|0|0|0|0|0|0|0|32.7|39.8|49.2|56.6|60.1|62.3|64.1|65.1|70.50|82.90|96.00|100.50|107.10|126.20
7.4|0|0|0|0|0|0|0|0|0|0|0|0|0|23.5|40.1|47.2|67.1|62.5|67.5|69.7|71.5|72.50|77.90|90.30|103.40|107.90|114.50
